commit,size,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,32B,126,142,145
a98f96c5686f8d814724ff69a557a2d3263f680d,1KiB,127,152,262
a98f96c5686f8d814724ff69a557a2d3263f680d,4KiB,253,269,355
a98f96c5686f8d814724ff69a557a2d3263f680d,8KiB,368,400,423
a98f96c5686f8d814724ff69a557a2d3263f680d,16KiB,616,649,661
a98f96c5686f8d814724ff69a557a2d3263f680d,32KiB,1114,1177,1201
a98f96c5686f8d814724ff69a557a2d3263f680d,64KiB,2118,2213,2322
89a642312840673abd94b4797badd91e20da36f3,32B,115,142,547
89a642312840673abd94b4797badd91e20da36f3,1KiB,129,141,149
89a642312840673abd94b4797badd91e20da36f3,4KiB,232,265,272
89a642312840673abd94b4797badd91e20da36f3,8KiB,354,393,409
89a642312840673abd94b4797badd91e20da36f3,16KiB,604,643,667
89a642312840673abd94b4797badd91e20da36f3,32KiB,1053,1170,1189
89a642312840673abd94b4797badd91e20da36f3,64KiB,1931,2228,2367
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,32B,125,142,158
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,1KiB,107,138,202
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,4KiB,250,269,282
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,8KiB,374,427,439
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,16KiB,534,651,667
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,32KiB,971,1168,1250
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,64KiB,1865,2217,2305
093f500adfdef056c7280244913e934012ac0bd8,32B,109,151,173
093f500adfdef056c7280244913e934012ac0bd8,1KiB,124,138,150
093f500adfdef056c7280244913e934012ac0bd8,4KiB,251,270,277
093f500adfdef056c7280244913e934012ac0bd8,8KiB,370,425,562
093f500adfdef056c7280244913e934012ac0bd8,16KiB,531,639,765
093f500adfdef056c7280244913e934012ac0bd8,32KiB,965,1167,1249
093f500adfdef056c7280244913e934012ac0bd8,64KiB,1987,2234,2657
655c2ffaaeeffb901143db3415dc65bd70affb75,32B,125,146,880
655c2ffaaeeffb901143db3415dc65bd70affb75,1KiB,121,153,172
655c2ffaaeeffb901143db3415dc65bd70affb75,4KiB,254,275,282
655c2ffaaeeffb901143db3415dc65bd70affb75,8KiB,375,418,445
655c2ffaaeeffb901143db3415dc65bd70affb75,16KiB,582,648,657
655c2ffaaeeffb901143db3415dc65bd70affb75,32KiB,1123,1174,1285
655c2ffaaeeffb901143db3415dc65bd70affb75,64KiB,2054,2180,2188
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,32B,124,144,1363
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,1KiB,119,136,145
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,4KiB,228,271,284
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,8KiB,370,417,422
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,16KiB,617,671,701
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,32KiB,1047,1172,1281
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,64KiB,2087,2250,2873
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,32B,128,151,694
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,1KiB,130,154,288
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,4KiB,251,272,285
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,8KiB,353,399,407
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,16KiB,583,648,691
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,32KiB,1046,1173,1222
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,64KiB,1976,2227,2350
753dda2091ec3238b8a86ac27c012faa6de47641,32B,130,1611,5158
753dda2091ec3238b8a86ac27c012faa6de47641,1KiB,132,2651,6598
753dda2091ec3238b8a86ac27c012faa6de47641,4KiB,254,4159,9594
753dda2091ec3238b8a86ac27c012faa6de47641,8KiB,368,498,4440
753dda2091ec3238b8a86ac27c012faa6de47641,16KiB,626,1733,16866
753dda2091ec3238b8a86ac27c012faa6de47641,32KiB,1040,1906,17487
